ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,siren,raison_sociale,statut_juridique,code_postal,ville,sdsei,pole_territorial,utd,nb_adherents,capital_social,post_images
,SUGARAI,,publish,,gd_place,2025-07-15 13:35:20,2025-07-15 13:35:20,,,,0,,,Philadelphia,Pennsylvania,United States,,,,,,,64220,,,,,,,
,APEL EC PUB MENDIVE LECUMBERRY AHAXE ...,,publish,,gd_place,2025-07-15 13:35:20,2025-07-15 13:35:20,,,,0,,,Philadelphia,Pennsylvania,United States,,,,,,,64220,,,,,,,
,TRUITE DU PAYS BASQUE,,publish,,gd_place,2025-07-15 13:35:20,2025-07-15 13:35:20,,,,0,,,Philadelphia,Pennsylvania,United States,,,,,,,64220,,,,,,,
,ASS  COMITE DES FETES,,publish,,gd_place,2025-07-15 13:35:20,2025-07-15 13:35:20,,,,0,,,Philadelphia,Pennsylvania,United States,,,,,,,64220,,,,,,,
,AHATSARRAK,,publish,,gd_place,2025-07-15 13:35:20,2025-07-15 13:35:20,,,,0,,,Philadelphia,Pennsylvania,United States,,,,,,,64220,,,,,,,
,GROUPEMENT PASTORAL DE L'ESTIVE D'ARROSKOA,,publish,,gd_place,2025-07-15 13:35:21,2025-07-15 13:35:21,,,,0,,,Philadelphia,Pennsylvania,United States,,,,,,,64220,,,,,,,
,ASSO LAUAK-BAT DES PARENTS D'ELEVES DES ECOLES PUBLIQUES DE MENDIVE-AHAXE,,publish,,gd_place,2025-07-15 13:35:21,2025-07-15 13:35:21,,,,0,,,Philadelphia,Pennsylvania,United States,,,,,,,64220,,,,,,,
,CUMA  AHAL DENA,,publish,,gd_place,2025-07-15 13:35:21,2025-07-15 13:35:21,,,,0,,,Philadelphia,Pennsylvania,United States,,,,,,,64210,,,,,,,
,EUZKADI CLUB RENCONTRE,,publish,,gd_place,2025-07-15 13:35:21,2025-07-15 13:35:21,,,,0,,,Philadelphia,Pennsylvania,United States,,,,,,,64210,,,,,,,
